"wsg_deb_name","wsg_latest_version","wsg_old_version"
"lshw","lshw_02.18-0.1ubuntu6_amd64.deb","02.16-2ubuntu1.3
"
"lsof","lsof_4.89+dfsg-0.1_amd64.deb","4.86+dfsg-1ubuntu2
"
"lsscsi","lsscsi_0.28-0.1_amd64.deb","0.27-2
"
"ltrace","ltrace_0.7.3-6ubuntu1_amd64.deb","0.7.3-4ubuntu5.1
"
"make","make_4.1-9.1ubuntu1_amd64.deb","3.81-8.2ubuntu3
"
"makedev","makedev_2.3.1-93ubuntu2_all.deb","2.3.1-93ubuntu1
"
"man-db","man-db_2.8.3-2_amd64.deb","2.6.7.1-1ubuntu1
"
"manpages","manpages_4.15-1_all.deb","3.54-1ubuntu1
"
"manpages-dev","manpages-dev_4.15-1_all.deb","3.54-1ubuntu1
"
"mawk","mawk_1.3.3-17ubuntu3_amd64.deb","1.3.3-17ubuntu2
"
"mdadm","mdadm_4.0-2ubuntu1_amd64.deb","3.2.5-5ubuntu4.2
"
"megacli","None","8.07.08-1
"
"memcached","memcached_1.5.6-0ubuntu1_amd64.deb","1.4.14-0ubuntu9
"
"memtest86+","memtest86+_5.01-3ubuntu2_amd64.deb","4.20-1.1ubuntu8
"
"mime-support","mime-support_3.60ubuntu1_all.deb","3.54ubuntu1.1
"
"mlocate","mlocate_0.26-2ubuntu3.1_amd64.deb","0.26-1ubuntu1
"
"module-init-tools","module-init-tools_24-1ubuntu3_all.deb","15-0ubuntu6
"
"mount","mount_2.31.1-0.4ubuntu3_amd64.deb","2.20.1-5.1ubuntu20.9
"
"mountall","None","2.53
"
"mtr-tiny","mtr-tiny_0.92-1_amd64.deb","0.85-2
"
"multiarch-support","multiarch-support_2.27-3ubuntu1_amd64.deb","2.19-0ubuntu6.9
"
"multipath-tools","multipath-tools_0.7.4-2ubuntu3_amd64.deb","0.4.9-3ubuntu7.16.2
"
"mysql-common","mysql-common_5.7.25-1ubuntu18.04_amd64.deb","5.5.49-0ubuntu0.14.04.1
"
"nano","nano_2.9.3-2_amd64.deb","2.2.6-1ubuntu1
"
"ncurses-base","ncurses-base_6.1-1ubuntu1_all.deb","5.9+20140118-1ubuntu1
"
"ncurses-bin","ncurses-bin_6.1-1ubuntu1_amd64.deb","5.9+20140118-1ubuntu1
"
"ncurses-term","ncurses-term_6.1-1ubuntu1_all.deb","5.9+20140118-1ubuntu1
"
"net-tools","net-tools_1.60+git20161116.90da8a0-1ubuntu1_amd64.deb","1.60-25ubuntu2.1
"
"netbase","netbase_5.4_all.deb","5.2
"
"netcat-openbsd","netcat-openbsd_1.187-1_amd64.deb","1.105-7ubuntu1
"
"nfs-common","nfs-common_1.3.4-2.1ubuntu5_amd64.deb","1:1.2.8-6ubuntu1.2
"
"nfs-kernel-server","nfs-kernel-server_1.3.4-2.1ubuntu5_amd64.deb","1:1.2.8-6ubuntu1.2
"
"ntfs-3g","ntfs-3g_2017.3.23-2_amd64.deb","1:2013.1.13AR.1-2ubuntu2
"
"ntp","ntp_4.2.8p10+dfsg-5ubuntu7_amd64.deb","1:4.2.6.p5+dfsg-3ubuntu2.14.04.10
"
"ntpdate","ntpdate_4.2.8p10+dfsg-5ubuntu7_amd64.deb","1:4.2.6.p5+dfsg-3ubuntu2.14.04.10
"
"open-iscsi","open-iscsi_2.0.874-5ubuntu2_amd64.deb","2.0.873-3ubuntu9
"
"openhpid","openhpid_3.6.1-3.1build1_amd64.deb","2.14.1-1.3ubuntu2
"
"openipmi","openipmi_2.0.22-1.1ubuntu2_amd64.deb","2.0.18-0ubuntu7.1
"
"openssh-client","openssh-client_7.6p1-4_amd64.deb","1:6.6p1-2ubuntu2.6
"
"openssh-server","openssh-server_7.6p1-4_amd64.deb","1:6.6p1-2ubuntu2.6
"
"openssh-sftp-server","openssh-sftp-server_7.6p1-4_amd64.deb","1:6.6p1-2ubuntu2.6
"
"openssl","openssl_1.1.0g-2ubuntu4_amd64.deb","1.0.1f-1ubuntu2.22
"
"os-prober","os-prober_1.74ubuntu1_amd64.deb","1.63ubuntu1.1
"
"pacemaker","pacemaker_1.1.18-0ubuntu1_amd64.deb","1.1.10+git20130802-1ubuntu2.3
"
"pacemaker-cli-utils","pacemaker-cli-utils_1.1.18-0ubuntu1_amd64.deb","1.1.10+git20130802-1ubuntu2.3
"
"parted","parted_3.2-20_amd64.deb","3.2-7
"
"passwd","passwd_4.5-1ubuntu1_amd64.deb","1:4.1.5.1-1ubuntu9.2
"
"patch","patch_2.7.6-2ubuntu1_amd64.deb","2.7.1-4ubuntu2.3
"
"pciutils","pciutils_3.5.2-1ubuntu1_amd64.deb","1:3.2.1-1ubuntu5.1
"
"perl","perl_5.26.1-6_amd64.deb","5.18.2-2ubuntu1
"
"perl-base","perl-base_5.26.1-6_amd64.deb","5.18.2-2ubuntu1
"
"perl-modules","perl-modules-5.26_5.26.1-6_all.deb","5.18.2-2ubuntu1
"
"plymouth","plymouth_0.9.3-1ubuntu7_amd64.deb","0.8.8-0ubuntu17.1
"
"plymouth-theme-ubuntu-text","plymouth-theme-ubuntu-text_0.9.3-1ubuntu7_amd64.deb","0.8.8-0ubuntu17.1
"
"policykit-1","policykit-1_0.105-20_amd64.deb","0.105-4ubuntu3.14.04.1
"
"popularity-contest","popularity-contest_1.66ubuntu1_all.deb","1.57ubuntu1
"
"postfix","postfix_3.3.0-1_amd64.deb","2.11.0-1ubuntu1
"
"powermgmt-base","powermgmt-base_1.33_all.deb","1.31build1
"
"ppp","ppp_2.4.7-2+2ubuntu1_amd64.deb","2.4.5-5.1ubuntu2.2
"
"pppconfig","pppconfig_2.3.23_all.deb","2.3.19ubuntu1
"
"pppoeconf","pppoeconf_1.21ubuntu1_all.deb","1.20ubuntu1
"
"procps","procps_3.3.12-3ubuntu1_amd64.deb","1:3.3.9-1ubuntu2.2
"
"psmisc","psmisc_23.1-1_amd64.deb","22.20-1ubuntu2
"
"python","python-pydicom_1.2.1-1~nd18.04+1_all.deb","2.7.5-5ubuntu3
"
"python-apt","python-apt_1.6.0_amd64.deb","0.9.3.5ubuntu2
"
"python-apt-common","python-apt-common_1.6.0_all.deb","0.9.3.5ubuntu2
"
"python-avahi","python-avahi_0.7-3.1ubuntu1_amd64.deb","0.6.31-4ubuntu1
"
"python-boto","python-boto_2.44.0-1~nd18.04+1_all.deb","2.20.1-2ubuntu2
"
"python-ceph","python-ceph_12.2.4-0ubuntu1_all.deb","10.2.11-7.0+428+f5c1db187
"
"python-cephfs","python-cephfs_12.2.4-0ubuntu1_amd64.deb","10.2.11-7.0+428+f5c1db187
"
"python-chardet","python-chardet_3.0.4-1_all.deb","2.0.1-2build2
"
"python-chardet-whl","None","2.2.1-2~ubuntu1
"
"python-click","python-click_6.7-3_all.deb","3.1-7.0+428+f5c1db187
"
"python-colorama","python-colorama_0.3.7-1_all.deb","0.2.5-0.1ubuntu2
"
"python-colorama-whl","None","0.2.5-0.1ubuntu2
"
"python-concurrent.futures","python-concurrent.futures_3.2.0-1_all.deb","3.2.0+dfsg-1
"
"python-configobj","python-configobj_5.0.6-2_all.deb","4.7.2+ds-5build1
"
"python-crypto","python-crypto_2.6.1-8ubuntu2_amd64.deb","2.6.1-4build1
"
"python-dbus","python-dbus_1.2.6-1_amd64.deb","1.2.0-2build2
"
"python-dbus-dev","python-dbus-dev_1.2.6-1_all.deb","1.2.0-2build2
"
"python-debian","python-debian_0.1.32_all.deb","0.1.21+nmu2ubuntu2
"
"python-distlib","python-distlib_0.2.6-1_all.deb","0.1.8-1ubuntu1
"
"python-distlib-whl","None","0.1.8-1ubuntu1
"
"python-dns","python-dns_2.3.6-3_all.deb","2.3.6-3
"
"python-dnspython","python-dnspython_1.15.0-1_all.deb","1.11.1-1build1
"
"python-docutils","python-docutils_0.14+dfsg-3_all.deb","0.11-3
"
"python-flask","python-flask_0.12.2-3_all.deb","0.10.1-2build1
"
"python-flup","python-flup_1.0.2-5_all.deb","1.0.2-4
"
"python-formencode","python-formencode_1.3.0-0ubuntu5_all.deb","1.2.6-1ubuntu1
"
"python-gdbm","python-gdbm_2.7.15~rc1-1_amd64.deb","2.7.5-1ubuntu1
"
"python-gi","python-gi_3.26.1-2_amd64.deb","3.12.0-1ubuntu1
"
"python-gobject","python-gobject_3.26.1-2ubuntu1_all.deb","3.12.0-1ubuntu1
"
"python-gobject-2","python-gobject-2_2.28.6-12ubuntu3_amd64.deb","2.28.6-12build1
"
"python-html5lib","python-html5lib_0.999999999-1_all.deb","0.999-3~ubuntu1
"
"python-html5lib-whl","None","0.999-3~ubuntu1
"
"python-humanize","python-humanize_0.5.1-2_all.deb","0.3-1
"
"python-itsdangerous","python-itsdangerous_0.24+dfsg1-2_all.deb","0.22+dfsg1-1build1
"
"python-jinja2","python-jinja2_2.10-1_all.deb","2.7.2-2
"
"python-jsonpickle","python-jsonpickle_0.9.5-1_all.deb","0.9.2-7.0+428+f5c1db187
"
"python-ldap","python-ldap_3.0.0-1_amd64.deb","2.4.10-1build1
"
"python-ldb","python-ldb_1.2.3-1_amd64.deb","1:1.1.24-0ubuntu0.14.04.1
"
"python-leveldb","python-leveldb_0~svn68-3build3_amd64.deb","0~svn68-2build1
"
"python-lockfile","python-lockfile_0.12.2-2_all.deb","1:0.8-2ubuntu2
"
"python-lxml","python-lxml_4.2.1-1_amd64.deb","3.3.3-1ubuntu0.1
"
"python-markupsafe","python-markupsafe_1.0-1build1_amd64.deb","0.18-1build2
"
"python-memcache","python-memcache_1.57-2_all.deb","1.53-1build1
"
"python-minimal","python-minimal_2.7.15~rc1-1_amd64.deb","2.7.5-5ubuntu3
"
"python-netaddr","python-netaddr_0.7.19-1_all.deb","0.7.10-1ubuntu1.1
"
"python-netifaces","python-netifaces_0.10.4-0.1build4_amd64.deb","0.8-3build1
"
"python-newt","python-newt_0.52.20-1ubuntu1_amd64.deb","0.52.15-2ubuntu5
"
"python-nose","python-nose_1.3.7-3_all.deb","1.3.1-2
"
"python-openid","python-openid_2.2.5-6_all.deb","2.2.5-3ubuntu1
"
"python-openssl","python-openssl_17.5.0-1ubuntu1_all.deb","0.13-2ubuntu6
"
"python-pam","python-pam_0.4.2-13.2ubuntu4_amd64.deb","0.4.2-13.1ubuntu3
"
"python-parse","python-parse_1.6.6-0.1_all.deb","1.6.5-7.0+428+f5c1db187
"
"python-parted","python-parted_3.11.1-1ubuntu2_amd64.deb","3.6-6
"
"python-paste","python-paste_2.0.3+dfsg-4ubuntu1_all.deb","1.7.5.1-6ubuntu3
"
"python-pexpect","python-pexpect_4.2.1-1_all.deb","3.1-1ubuntu0.1
"
"python-pil","python-pil_5.1.0-1_amd64.deb","2.3.0-1ubuntu3
"
"python-pip","python-pip_9.0.1-2_all.deb","1.5.4-1ubuntu4
"
"python-pip-whl","python-pip-whl_9.0.1-2_all.deb","1.5.4-1ubuntu4
"
"python-pkg-resources","python-pkg-resources_39.0.1-2_all.deb","3.3-1ubuntu2
"
"python-plumbum","python-plumbum_1.6.5-1_all.deb","1.4.2-7.0+428+f5c1db187
"
"python-posix-ipc","python-posix-ipc_0.9.8-3_amd64.deb","0.9.8-2+b1
"
"python-prctl","python-prctl_1.6.1-2build1_amd64.deb","1.1.1-1.1
"
"python-psutil","python-psutil_5.4.2-1_amd64.deb","3.0.0-7.0+428+f5c1db187
"
"python-pycurl","python-pycurl_7.43.0.1-0.2_amd64.deb","7.19.3-0ubuntu3
"
"python-pygments","python-pygments_2.2.0+dfsg-1_all.deb","1.6+dfsg-1ubuntu1.1
"
"python-pyinotify","python-pyinotify_0.9.6-1_all.deb","0.9.4-1build1
"
"python-pyjwt","None","1.6.4
"
"python-pylibmc","python-pylibmc_1.5.2-1build1_amd64.deb","1.2.3-1
"
"python-pysmart","None","0.3-7.0+428+f5c1db187
"
"python-pysphere","None","0.1.7-7.0+428+f5c1db187
"
"python-pyudev","python-pyudev_0.21.0-1_all.deb","0.16.1-2build1
"
"python-pyxattr","python-pyxattr_0.6.0-2build2_amd64.deb","0.5.1-1.1build4
"
"python-rados","python-rados_12.2.4-0ubuntu1_amd64.deb","10.2.11-7.0+428+f5c1db187
"
"python-rbd","python-rbd_12.2.4-0ubuntu1_amd64.deb","10.2.11-7.0+428+f5c1db187
"
"python-requests","python-requests_2.8.1-1~bpo8+1~nd90+1+nd17.04+1+nd17.10+1+nd18.04+1_all.deb","2.2.1-1ubuntu0.3
"
"python-requests-whl","python-requests-whl_2.8.1-1~bpo8+1~nd90+1+nd17.04+1+nd17.10+1+nd18.04+1_all.deb","2.2.1-1ubuntu0.4
"
"python-retrying","python-retrying_1.3.3-3_all.deb","1.3.3-1
"
"python-roman","python-roman_2.0.0-3_all.deb","2.0.0-1
"
"python-rpyc","None","3.3.0-7.0+428+f5c1db187
"
"python-samba","python-samba_4.7.6+dfsg~ubuntu-0ubuntu2_amd64.deb","2:4.3.13+dfsg-7.0+428+f5c1db187
"
"python-scgi","python-scgi_1.13-1.1build1_amd64.deb","1.13-1.1build1
"
"python-serial","python-serial_3.4-2_all.deb","2.6-1build1
"
"python-setuptools","python-setuptools_39.0.1-2_all.deb","3.3-1ubuntu2
"
"python-setuptools-whl","None","3.3-1ubuntu2
"
"python-simplejson","python-simplejson_3.13.2-1_amd64.deb","3.3.1-1ubuntu6
"
"python-six","python-six_1.11.0-2_all.deb","1.11.0-1
"
"python-six-whl","None","1.5.2-1ubuntu1.1
"
"python-sphinx","python-sphinx_1.6.7-1ubuntu1_all.deb","1.2.2+dfsg-1ubuntu1.1
"
"python-sphinxcontrib.httpdomain","python-sphinxcontrib.httpdomain_1.5.0-2_all.deb","1.3.0-1
"
"python-support","None","1.0.15
"
"python-talloc","python-talloc_2.1.10-2ubuntu1_amd64.deb","2.1.0-1
"
"python-tdb","python-tdb_1.3.15-2_amd64.deb","1.3.8-0ubuntu0.14.04.1
"
"python-tempita","python-tempita_0.5.2-2_all.deb","0.5.2-1build1
"
"python-twisted-bin","python-twisted-bin_17.9.0-2_amd64.deb","13.2.0-1ubuntu1
"
"python-twisted-core","python-twisted-core_17.9.0-2_all.deb","13.2.0-1ubuntu1
"
"python-urllib3","python-urllib3_1.12-1~bpo8+1~nd90+1+nd17.04+1+nd17.10+1+nd18.04+1_all.deb","1.7.1-1ubuntu4
"
"python-urllib3-whl","python-urllib3-whl_1.12-1~bpo8+1~nd90+1+nd17.04+1+nd17.10+1+nd18.04+1_all.deb","1.7.1-1ubuntu4.1
"
"python-webpy","python-webpy_0.38+20170615-1_all.deb","1:0.37-7.0+428+f5c1db187
"
"python-werkzeug","python-werkzeug_0.14.1+dfsg1-1_all.deb","0.9.4+dfsg-1.1ubuntu2
"
"python-wheel","python-wheel_0.30.0-0.2_all.deb","0.24.0-1~ubuntu1.1
"
"python-wrapt","python-wrapt_1.9.0-4~nd0~nd17.04+1+nd17.10+1+nd18.04+1_amd64.deb","1.9.0-1
"
"python-xapian","python-xapian_1.4.5-1ubuntu3_amd64.deb","1.2.16-2ubuntu1
"
"python-zope.interface","python-zope.interface_4.3.2-1build2_amd64.deb","4.0.5-1ubuntu4
"
"python2.7","python2.7_2.7.15~rc1-1_amd64.deb","2.7.6-8ubuntu0.2
"
"python2.7-minimal","python2.7-minimal_2.7.15~rc1-1_amd64.deb","2.7.6-8ubuntu0.2
"
"python3","python3-pydicom_1.2.1-1~nd18.04+1_all.deb","3.4.0-0ubuntu2
"
"python3-apt","python3-apt_1.6.0_amd64.deb","0.9.3.5ubuntu2
"
"python3-commandnotfound","None","0.3ubuntu12
"
"python3-dbus","python3-dbus_1.2.6-1_amd64.deb","1.2.0-2build2
"
"python3-distupgrade","python3-distupgrade_18.04.17_all.deb","1:0.220.8
"
"python3-gi","python3-gi_3.26.1-2_amd64.deb","3.12.0-1ubuntu1
"
"python3-minimal","python3-minimal_3.6.5-3_amd64.deb","3.4.0-0ubuntu2
"
"python3-newt","python3-newt_0.52.20-1ubuntu1_amd64.deb","0.52.15-2ubuntu5
"
"python3-pkg-resources","python3-pkg-resources_39.0.1-2_all.deb","3.3-1ubuntu2
"
"python3-pycurl","python3-pycurl_7.43.0.1-0.2_amd64.deb","7.19.3-0ubuntu3
"
"python3-six","python3-six_1.11.0-2_all.deb","1.5.2-1ubuntu1
"
"python3-update-manager","python3-update-manager_18.04.11_all.deb","1:0.196.14
"
"python3.4","None","3.4.3-1ubuntu1~14.04.6
"
"python3.4-minimal","None","3.4.3-1ubuntu1~14.04.6
"
"radosgw","radosgw_12.2.4-0ubuntu1_amd64.deb","10.2.11-7.0+428+f5c1db187
"
"readline-common","readline-common_7.0-3_all.deb","6.3-4ubuntu2
"
"resolvconf","openresolv_3.8.0-1_amd64.deb","1.69ubuntu1.1
"
"resource-agents","resource-agents_4.1.0~rc1-1ubuntu1_amd64.deb","1:3.9.3+git20121009-3ubuntu2
"
"rpcbind","rpcbind_0.2.3-0.6_amd64.deb","0.2.1-2ubuntu2.2
"
"rrdtool","rrdtool_1.7.0-1build1_amd64.deb","7.0-428+f5c1db187
"
"rsync","rsync_3.1.2-2.1ubuntu1_amd64.deb","3.1.0-2ubuntu0.2
"
"rsyslog","rsyslog_8.32.0-1ubuntu4_amd64.deb","7.4.4-1ubuntu2.6
"
"s3cmd","s3cmd_2.0.1-2_all.deb","7.0-428+f5c1db187
"
"s3fs-fuse","None","7.0-428+f5c1db187
"
"samba","samba_4.7.6+dfsg~ubuntu-0ubuntu2_amd64.deb","2:4.3.13+dfsg-7.0+428+f5c1db187
"
"samba-common","samba-common_4.7.6+dfsg~ubuntu-0ubuntu2_all.deb","2:4.3.13+dfsg-7.0+428+f5c1db187
"
"samba-common-bin","samba-common-bin_4.7.6+dfsg~ubuntu-0ubuntu2_amd64.deb","2:4.3.13+dfsg-7.0+428+f5c1db187
"
"samba-dsdb-modules","samba-dsdb-modules_4.7.6+dfsg~ubuntu-0ubuntu2_amd64.deb","2:4.3.13+dfsg-7.0+428+f5c1db187
"
"samba-vfs-modules","samba-vfs-modules_4.7.6+dfsg~ubuntu-0ubuntu2_amd64.deb","2:4.3.13+dfsg-7.0+428+f5c1db187
"
"screen","screen_4.6.2-1_amd64.deb","4.1.0~20120320gitdb59704-9
"
"sed","sed_4.4-2_amd64.deb","4.2.2-4ubuntu1
"
"sensible-utils","sensible-utils_0.0.12_all.deb","0.0.9
"
"sg3-utils","sg3-utils_1.42-2ubuntu1_amd64.deb","1.39-1
"
"sgml-base","sgml-base_1.29_all.deb","1.26+nmu4ubuntu1
"
"shared-mime-info","shared-mime-info_1.9-2_amd64.deb","1.2-0ubuntu3
"
"smartmontools","smartmontools_6.5+svn4324-1_amd64.deb","6.5+svn4324-1+dfsg-1
"
"snmp","snmp_5.7.3+dfsg-1.8ubuntu3_amd64.deb","5.7.2~dfsg-8.1ubuntu3.1
"
"snmpd","snmpd_5.7.3+dfsg-1.8ubuntu3_amd64.deb","5.7.2~dfsg-8.1ubuntu3.1
"
"sosreport","sosreport_3.5-1ubuntu3_amd64.deb","3.1-1ubuntu2.2
"
"sphinx-common","sphinx-common_1.6.7-1ubuntu1_all.deb","1.2.2+dfsg-1ubuntu1.1
"
"sphinx-doc","sphinx-doc_1.6.7-1ubuntu1_all.deb","1.2.2+dfsg-1ubuntu1.1
"
"spl","linux-image-4.15.0-1028-gcp_4.15.0-1028.29_amd64.deb","0.6.5.11-1~trusty
"
"spl-dkms","linux-image-4.15.0-1004-oem_4.15.0-1004.5+signed1_amd64.deb","0.6.5.11-1~trusty
"
"ssh-import-id","ssh-import-id_5.7-0ubuntu1_all.deb","3.21-0ubuntu1
"
"sshpass","sshpass_1.06-1_amd64.deb","1.05-1
"
"ssl-cert","ssl-cert_1.0.39_all.deb","1.0.33
"
"strace","strace_4.21-1ubuntu1_amd64.deb","4.8-1ubuntu5
"
"stunnel4","stunnel4_5.44-1ubuntu3_amd64.deb","3:4.53-1.1ubuntu1
"
"sudo","sudo_1.8.21p2-3ubuntu1_amd64.deb","1.8.9p5-1ubuntu1.4
"
"sysfsutils","sysfsutils_2.1.0+repack-4build1_amd64.deb","2.1.0+repack-3ubuntu1
"
"sysstat","sysstat_11.6.1-1_amd64.deb","10.2.0-1
"
"systemd-services","None","204-5ubuntu20.25
"
"systemd-shim","None","6-2bzr1
"
"sysv-rc","None","2.88dsf-41ubuntu6.3
"
"sysvinit-utils","sysvinit-utils_2.88dsf-59.10ubuntu1_amd64.deb","2.88dsf-41ubuntu6.3
"
"tar","tar_1.29b-2_amd64.deb","1.27.1-1
"
"tasksel","tasksel_3.34ubuntu11_all.deb","2.88ubuntu15
"
"tasksel-data","tasksel-data_3.34ubuntu11_all.deb","2.88ubuntu15
"
"tcpd","tcpd_7.6.q-27_amd64.deb","7.6.q-25
"
"tcpdump","tcpdump_4.9.2-3_amd64.deb","4.5.1-2ubuntu1.2
"
"tdb-tools","tdb-tools_1.3.15-2_amd64.deb","1.3.8-0ubuntu0.14.04.1
"
"telnet","telnet_0.17-41_amd64.deb","0.17-36build2
"
"time","time_1.7-25.1build1_amd64.deb","1.7-24
"
"tmux","tmux_2.6-3_amd64.deb","1.8-5
"
"tree","tree_1.7.0-5_amd64.deb","1.6.0-1
"
"ttf-dejavu","ttf-dejavu_2.37-1_all.deb","2.34-1ubuntu1
"
"ttf-dejavu-core","ttf-dejavu-core_2.37-1_all.deb","2.34-1ubuntu1
"
"ttf-dejavu-extra","ttf-dejavu-extra_2.37-1_all.deb","2.34-1ubuntu1
"
"tzdata","tzdata_2018d-1_all.deb","2015g-0ubuntu0.14.04
"
"tzdata-java","None","2015g-0ubuntu0.14.04
"
"ubuntu-keyring","ubuntu-keyring_2018.02.28_all.deb","2012.05.19
"
"ubuntu-minimal","ubuntu-minimal_1.417_amd64.deb","1.325
"
"ubuntu-release-upgrader-core","ubuntu-release-upgrader-core_18.04.17_all.deb","1:0.220.8
"
"ubuntu-standard","ubuntu-standard_1.417_amd64.deb","1.325
"
"ubuntu-zfs","None","8~trusty
"
"ucf","ucf_3.0038_all.deb","3.0027+nmu1
"
"udev","udev_237-3ubuntu10_amd64.deb","204-5ubuntu20.25
"
"ufw","ufw_0.35-5_all.deb","0.34~rc-0ubuntu2
"
"unrar","unrar_5.5.8-1_amd64.deb","1:5.0.10-1ubuntu0.14.04.1
"
"update-inetd","None","4.43
"
"update-manager-core","update-manager-core_18.04.11_all.deb","1:0.196.14
"
"upstart","None","1.12.1-0ubuntu4.2
"
"ureadahead","ureadahead_0.100.0-20_amd64.deb","0.100.0-16
"
"usbutils","usbutils_007-4build1_amd64.deb","1:007-2ubuntu1
"
"util-linux","util-linux_2.31.1-0.4ubuntu3_amd64.deb","2.20.1-5.1ubuntu20.9
"
"uuid-runtime","uuid-runtime_2.31.1-0.4ubuntu3_amd64.deb","2.20.1-5.1ubuntu20.9
"
"vim","vim_8.0.1453-1ubuntu1_amd64.deb","2:7.4.052-1ubuntu3.1
"
"vim-common","vim-common_8.0.1453-1ubuntu1_all.deb","2:7.4.052-1ubuntu3.1
"
"vim-runtime","vim-runtime_8.0.1453-1ubuntu1_all.deb","2:7.4.052-1ubuntu3.1
"
"vim-tiny","vim-tiny_8.0.1453-1ubuntu1_amd64.deb","2:7.4.052-1ubuntu3.1
"
"w3m","w3m_0.5.3-36build1_amd64.deb","0.5.3-15
"
"wget","wget_1.19.4-1ubuntu2_amd64.deb","1.15-1ubuntu1.14.04.1
"
"whiptail","whiptail_0.52.20-1ubuntu1_amd64.deb","0.52.15-2ubuntu5
"
"winbind","winbind_4.7.6+dfsg~ubuntu-0ubuntu2_amd64.deb","2:4.3.13+dfsg-7.0+428+f5c1db187
"
"wireless-tools","wireless-tools_30~pre9-12ubuntu1_amd64.deb","30~pre9-8ubuntu1
"
"wpasupplicant","wpasupplicant_2.6-15ubuntu2_amd64.deb","2.1-0ubuntu1.4
"
"xauth","xauth_1.0.10-1_amd64.deb","1:1.0.7-1ubuntu1
"
"xfsprogs","xfsprogs_4.9.0+nmu1ubuntu2_amd64.deb","3.1.9ubuntu2
"
"xkb-data","xkb-data_2.23.1-1ubuntu1_all.deb","2.10.1-1ubuntu1
"
"xml-core","xml-core_0.18_all.deb","0.13+nmu2
"
"xz-utils","xz-utils_5.2.2-1.3_amd64.deb","5.1.1alpha+20120614-2ubuntu2
"
"zfs-dkms","linux-image-4.15.0-1004-oem_4.15.0-1004.5+signed1_amd64.deb","0.6.5.11-1~trusty
"
"zfs-doc","zfs-doc_0.7.5-1ubuntu16.4_all.deb","0.6.5.11-1~trusty
"
"zfsutils","zfsutils-linux_0.7.5-1ubuntu15_amd64.deb","0.6.5.11-1~trusty
"
